student_id,status,is_dropout,program_studi,jalur_masuk,status_pernikahan,jenis_kelamin,kelas,usia_saat_daftar,kelompok_usia,status_spp,punya_tunggakan,penerima_beasiswa,mahasiswa_displaced,nilai_masuk,nilai_pendidikan_sebelumnya,mk_diambil_sem1,mk_lulus_sem1,nilai_sem1,mk_diambil_sem2,mk_lulus_sem2,nilai_sem2,rasio_kelulusan_mk_sem1,rasio_kelulusan_mk_sem2,skor_risiko_dropout,sumber_skor,prediksi_berisiko,kategori_risiko
JJI-00001,Dropout,1.0,Animation & Multimedia Design,Fase 2 - kuota umum,Lajang,Laki-laki,Siang,20,≤20 th,Lunas,Tidak,Tidak,Ya,127.3,122.0,0,0,0.0,0,0,0.0,,,0.726,prediksi out-of-fold (data berlabel),Berisiko,Tinggi
JJI-00002,Graduate,0.0,Tourism,Mahasiswa internasional (S1),Lajang,Laki-laki,Siang,19,≤20 th,Menunggak,Tidak,Tidak,Ya,142.5,160.0,6,6,14.0,6,6,13.67,1.0,1.0,0.3332,prediksi out-of-fold (data berlabel),Aman,Sedang
JJI-00003,Dropout,1.0,Communication Design,Fase 1 - kuota umum,Lajang,Laki-laki,Siang,19,≤20 th,Menunggak,Tidak,Tidak,Ya,124.8,122.0,6,0,0.0,6,0,0.0,0.0,0.0,0.9989,prediksi out-of-fold (data berlabel),Berisiko,Sangat Tinggi
JJI-00004,Graduate,0.0,Journalism & Communication,Fase 2 - kuota umum,Lajang,Perempuan,Siang,20,≤20 th,Lunas,Tidak,Tidak,Ya,119.6,122.0,6,6,13.43,6,5,12.4,1.0,0.833,0.3262,prediksi out-of-fold (data berlabel),Aman,Sedang
JJI-00005,Graduate,0.0,Social Service (kelas malam),Usia di atas 23 tahun,Menikah,Perempuan,Malam,45,>35 th,Lunas,Tidak,Tidak,Tidak,141.5,100.0,6,5,12.33,6,6,13.0,0.833,1.0,0.1462,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00006,Graduate,0.0,Management (kelas malam),Usia di atas 23 tahun,Menikah,Laki-laki,Malam,50,>35 th,Lunas,Ya,Tidak,Tidak,114.8,133.1,5,5,11.86,5,5,11.5,1.0,1.0,0.8232,prediksi out-of-fold (data berlabel),Berisiko,Sangat Tinggi
JJI-00007,Graduate,0.0,Nursing,Fase 1 - kuota umum,Lajang,Perempuan,Siang,18,≤20 th,Lunas,Tidak,Ya,Ya,128.4,142.0,7,7,13.3,8,8,14.34,1.0,1.0,0.0242,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00008,Dropout,1.0,Tourism,Fase 3 - kuota umum,Lajang,Laki-laki,Siang,22,21-23 th,Menunggak,Tidak,Tidak,Ya,113.1,119.0,5,0,0.0,5,0,0.0,0.0,0.0,0.9978,prediksi out-of-fold (data berlabel),Berisiko,Sangat Tinggi
JJI-00009,Graduate,0.0,Social Service,Fase 1 - kuota umum,Lajang,Perempuan,Siang,21,21-23 th,Lunas,Tidak,Ya,Tidak,129.3,137.0,6,6,13.88,6,6,14.14,1.0,1.0,0.0251,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00010,Dropout,1.0,Social Service,Fase 1 - kuota umum,Lajang,Perempuan,Siang,18,≤20 th,Menunggak,Ya,Tidak,Ya,123.0,138.0,6,5,11.4,6,2,13.5,0.833,0.333,0.9442,prediksi out-of-fold (data berlabel),Berisiko,Sangat Tinggi
